101010100,北京
101020100,上海
101030100,天津
101040100,重庆
10107010101A,辽宁
101090101,河北
101100101,山西
10106010102A,吉林
10105010103A,黑龙江
10119020201A,江苏
101210101,浙江
10122010101A,安徽
10123011002A,福建
101240101,江西
10112090203A,山东
101150304,河南
10120010107A,湖北
10125010102A,湖南
10128010106A,广东
10131010102A,海南
10127010103A,四川
10126040301A,贵州
10129010101A,云南
10111010107A,陕西
101160101,甘肃
10115010105A,青海
101340101,台湾
10130010103A,广西
101080101,内蒙古
10114010103A,西藏
10117040101A,宁夏
10113010111A,新疆
101320101,香港
101330101,澳门
